               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.018687,           0.0048002,                   0,             0.88759,             0.80233,             0.83099,             0.40412,            0.038003,           0.0071849,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.018485,           0.0050875,                   0,               0.887,             0.81977,              0.8468,              0.4188,            0.037818,           0.0070039,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.017828,           0.0051607,                   0,             0.85541,             0.82552,             0.84931,              0.4378,            0.037373,           0.0069308,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.018663,           0.0051599,                   0,             0.89074,             0.78488,             0.83692,             0.42935,            0.038292,           0.0071063,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.018223,           0.0050403,                   0,             0.87738,             0.82558,             0.84742,             0.42279,            0.038592,            0.007149,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.018502,           0.0049828,                   0,             0.86185,             0.79799,             0.82358,             0.42383,             0.03844,           0.0072371,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.018643,           0.0051262,                   0,             0.87384,              0.7907,             0.81383,             0.41684,            0.038581,           0.0069962,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.017799,           0.0048806,                   0,             0.88151,             0.79651,             0.80768,             0.41647,            0.038717,           0.0070039,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.018196,           0.0050147,                   0,             0.88843,              0.7907,             0.83201,             0.42092,            0.038557,           0.0071284,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.018113,           0.0050347,                   0,             0.88189,             0.78139,             0.83444,             0.41858,            0.037876,           0.0069911,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.017541,           0.0047938,                   0,             0.89148,             0.77907,             0.83297,             0.41876,            0.037761,           0.0070319,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.017676,            0.004961,                   0,             0.84936,              0.8195,             0.83757,             0.41477,            0.038802,           0.0071793,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.017806,           0.0049181,                   0,             0.86558,             0.81395,              0.8428,             0.42922,            0.038419,           0.0070851,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.017817,           0.0050184,                   0,             0.87022,              0.8187,             0.82781,             0.41446,            0.038686,           0.0070256,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.017297,           0.0047359,                   0,             0.86418,             0.81977,             0.83603,             0.41269,            0.038867,           0.0071033,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.017408,            0.004644,                   0,             0.86686,             0.81977,             0.83258,             0.41516,            0.038501,           0.0072407,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.017586,            0.004814,                   0,              0.8827,             0.80233,              0.8323,             0.41439,            0.038287,           0.0072175,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.017267,           0.0049582,                   0,             0.89306,             0.80233,              0.8375,             0.41821,            0.037847,           0.0072363,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.017665,           0.0050044,                   0,                0.89,             0.79965,             0.82575,             0.41438,            0.038092,           0.0072505,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.017188,            0.004771,                   0,             0.87012,             0.79651,             0.81382,             0.41136,            0.038553,           0.0073255,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.016942,           0.0050009,                   0,             0.85093,             0.82972,             0.83325,             0.41696,            0.038223,           0.0071685,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.017128,           0.0048457,                   0,             0.86877,             0.80829,             0.83229,              0.4225,            0.037415,           0.0071046,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.015965,           0.0045586,                   0,             0.85104,              0.8304,             0.83064,             0.41356,            0.037498,           0.0071596,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.016235,           0.0049164,                   0,             0.84993,             0.82321,             0.82836,             0.41703,            0.037366,           0.0071086,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.017109,           0.0051554,                   0,             0.85652,             0.81395,             0.83422,             0.42276,            0.037679,           0.0071656,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.017378,             0.00488,                   0,             0.88304,             0.81977,             0.85294,             0.41911,            0.037937,           0.0072579,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.016802,           0.0046304,                   0,             0.88124,             0.81969,             0.85041,             0.42285,             0.03792,            0.007236,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.016763,           0.0048224,                   0,             0.84658,             0.83414,             0.85452,             0.42095,            0.037975,           0.0071071,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.016899,           0.0048083,                   0,             0.83717,             0.83721,             0.83157,             0.41957,            0.038077,           0.0070434,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.015844,           0.0046801,                   0,              0.8821,              0.7907,             0.83003,              0.4128,            0.037892,           0.0071944,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.016527,           0.0044205,                   0,             0.88679,              0.7907,             0.82801,             0.41479,            0.037954,           0.0072539,                   0,            0.000694,            0.000694,            0.000694
                 143,              0.0169,           0.0048034,                   0,             0.89463,              0.7898,             0.83968,             0.41466,            0.037748,           0.0072445,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.016238,           0.0044345,                   0,             0.87891,             0.80183,             0.83681,             0.42226,            0.037648,           0.0072378,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.016342,           0.0045924,                   0,             0.88372,             0.79534,             0.84955,             0.41738,             0.03786,           0.0072921,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.016077,           0.0046334,                   0,             0.86724,             0.79757,             0.82998,              0.4164,            0.037777,           0.0072719,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.016036,           0.0044972,                   0,             0.86392,             0.81205,             0.84314,             0.40791,             0.03808,           0.0073144,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.016713,           0.0046078,                   0,             0.83372,             0.82558,             0.82815,             0.40739,            0.038001,            0.007269,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.016019,           0.0047624,                   0,             0.87011,             0.79651,              0.8292,             0.41286,            0.037909,           0.0072722,                   0,            0.000232,            0.000232,            0.000232
